company,Close_val,Perc_inc,Stockval_change,Market_opinion,Vol_trade,Marketcap 
JAIPRAKASH ASSOCIA,20.00,2.30%,0.45,Buy,171.279M,47.555B
IDBI BANK LTD,73.70,-0.07%,-0.05,Buy,75.055M,194.884B
RELIANCE COMM LTD,23.10,0.43%,0.10,Sell,35.335M,63.607B
SUZLON ENERGY LTD,11.30,0.44%,0.05,Sell,32.289M,59.847B
ANDHRA BANK,42.55,1.55%,0.65,Sell,29.325M,36.570B
PUNJAB NATL BANK,96.85,0.31%,0.30,Sell,27.907M,234.190B
BK OF BARODA,135.85,1.87%,2.50,Sell,27.634M,307.260B
STEEL AUTHOR INDIA,72.25,4.86%,3.35,Sell,24.588M,284.593B
GMR INFRASTRUCTURE,17.80,1.14%,0.20,Sell,21.469M,106.233B
JINDAL STEEL & PWR,233.55,5.70%,12.60,Sell,21.033M,202.488B
